event_count,customer,customer_id,customer_1,customer_1_id,customer_2,customer_2_id,customer_3,customer_3_id,customer_4,customer_4_id,customer_5,customer_5_id,customer_6,customer_6_id
344,Direct ChassisLink Inc,1112,HB Ind Repair Services Inc,1130,,,,,,,,,,
16155,Miscellaneous NP Tenants,1068,Parkhouse Tire Inc,707,,,,,,,,,,
38765,Amazon Logistics Inc,1081,Cox Automotive Inc,305,,,,,,,,,,
35709,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
6904,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Pomps Tire Service Inc,68,,,,,,,,
3079,Flexi Van Central Chassis Pool,1282,P & B Intermodal Services LLC,694,,,,,,,,,,
679,Werner Enterprises Inc,1034,Boulevard Tire Center,199,,,,,,,,,,
65,Martin Brower,604,Boulevard Tire Center,199,,,,,,,,,,
27818,Miscellaneous NP Tenants,1068,Kal Tire Ltd,538,,,,,,,,,,
318,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Kirks Mobile Repair LLC,550,,,,,,,,
2487,Miscellaneous NP Tenants,1068,Dorsey Tire,354,,,,,,,,,,
5901,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Senoran Truck Repair,1176,,,,,,,,
73,Miscellaneous NP Tenants,1068,Direct ChassisLink Inc,1112,Senoran Truck Repair,1176,,,,,,,,
652,Direct ChassisLink Inc,1112,Wise Carriers,1193,,,,,,,,,,
4055,Miscellaneous NP Tenants,1068,McCarthy Tire Service,613,,,,,,,,,,
173,Step Energy Services Ltd,880,Kal Tire Ltd,538,,,,,,,,,,
2399,Hub Group Inc,1133,Direct ChassisLink Inc,1112,P & B Intermodal Services LLC,694,,,,,,,,
3759,Penske Corp Inc,29,TravelCenters Of America Inc,1187,TA Shops (Integrated),1312,,,,,,,,
1066,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Southern Tire Mart LLC,865,,,,,,,,
152,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,A1 Emergency Roadside Services LLC,1074,,,,,,,,
1379,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Pomps Tire Service Inc,68,,,,,,,,
2710,Miscellaneous NP Tenants,1068,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
238,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Veteran Road Service LLC,1006,,,,,,,,
1980,FYX Fleet LLC,42,P & B Intermodal Services LLC,694,,,,,,,,,,
9,Bridgestone Americas LLC,210,Bob Sumerel Tire Co,189,,,,,,,,,,
48,Direct ChassisLink Inc,1112,Precision Diesel,1877,,,,,,,,,,
46,ContainerPort Group,1195,Direct ChassisLink Inc,1112,Chassis Support Services,1209,,,,,,,,
430,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,TNT Roadside Repair,1184,,,,,,,,
1156,Direct ChassisLink Inc,1112,Southern Tire Mart LLC,865,,,,,,,,,,
303,Trican Well Service Ltd,961,Kal Tire Ltd,538,,,,,,,,,,
119,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Marine Repair Services Container Maintenance Corp,770,,,,,,,,
1126,Incremental Tenants,1203,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
18,C & K Trucking,226,Direct ChassisLink Inc,1112,Across Road & Rail,1900,,,,,,,,
385,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Dirty South Diesel,1704,,,,,,,,
1052,STG Logistics,884,Downtime Fleet Inc,1115,,,,,,,,,,
1116,Direct ChassisLink Inc,1112,Chassis Support Services,1209,,,,,,,,,,
39,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Premier Fleet Services,1632,,,,,,,,
5,Frito Lay Transportation,51,Bridgestone Americas LLC,210,Sullivan Tire,1722,Bridgestone Americas LLC,210,,,,,,
30,Bulkmatic Transport Co,221,Bridgestone Americas LLC,210,Best One,73,,,,,,,,
316,Amazon Logistics Inc,1081,Briggs Equipment,1512,,,,,,,,,,
400,Miscellaneous NP Tenants,1068,Direct ChassisLink Inc,1112,Chassis Support Services,1209,,,,,,,,
121,The Kroger Co,921,Bob Sumerel Tire Co,189,,,,,,,,,,
124,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Best One,73,Eagle Teleservices,1117,,,,,,
319,Hub Group Inc,1133,Direct ChassisLink Inc,1112,Lintrac Services Inc,575,,,,,,,,
678,Incremental Tenants,1203,P & B Intermodal Services LLC,694,,,,,,,,,,
617,Amazon Logistics Inc,1081,Bridgestone Americas LLC,210,Custom Bandag,324,,,,,,,,
67,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Jet Repair Services,1141,,,,,,,,
201,Maschmeyer Concrete,1549,Boulevard Tire Center,199,,,,,,,,,,
1252,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Foccus Road Service,1539,,,,,,,,
104,Hub Group Inc,1133,Direct ChassisLink Inc,1112,OTR Fleet Service,1159,,,,,,,,
42,Idealease Inc,48,Kal Tire Ltd,538,,,,,,,,,,
230,Mckinney Trailer Rental,619,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
33,Star Leasing Co LLC,876,McCarthy Tire Service,613,,,,,,,,,,
362,STG Logistics,884,Lintrac Services Inc,575,,,,,,,,,,
253,Ashley Distribution,135,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
37,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Beach Diesel Repair,1219,,,,,,,,
28,Covenant Transportation Group,302,Boulevard Tire Center,199,,,,,,,,,,
80290,Amazon Logistics Inc,1081,Kooner Truck Repair Inc,557,,,,,,,,,,
509,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,,,,,,,,,,
314,Amazon Logistics Inc,1081,Direct ChassisLink Inc,1112,Lintrac Services Inc,575,,,,,,,,
14492,JB Hunt Transport Services Inc,515,Bridgestone Americas LLC,210,Southern Tire Mart LLC,865,,,,,,,,
125,Amazon Logistics Inc,1081,TravelCenters Of America Inc,1187,Kenworth Trucks,1531,,,,,,,,
438,Miscellaneous NP Tenants,1068,Bridgestone Americas LLC,210,Best One,73,,,,,,,,
1929,Hub Group Inc,1133,Miscellaneous NP Tenants,1068,,,,,,,,,,
