event_count,customer,customer_id,customer_1,customer_1_id,customer_2,customer_2_id,customer_3,customer_3_id,customer_4,customer_4_id,customer_5,customer_5_id,customer_6,customer_6_id
387,Southern Tire Mart LLC,865,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
2679,Parkhouse Tire Inc,707,Miscellaneous NP Tenants,1068,,,,,,,,,,
1003,Chassis Support Services,1209,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
115,Incremental Tenants,1203,Direct ChassisLink Inc,1112,,,,,,,,,,
867,TA Shops (Integrated),1312,TravelCenters Of America Inc,1187,Cox Automotive Inc,305,,,,,,,,
784,Fleetpride Inc,406,Amazon Logistics Inc,1081,,,,,,,,,,
91,Skyway Road Service Corp,847,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
8,1580 Utility Trailer,1533,TravelCenters Of America Inc,1187,Amazon Logistics Inc,1081,,,,,,,,
21,Senoran Truck Repair,1176,Direct ChassisLink Inc,1112,FedEx Freight Inc,396,,,,,,,,
2753,Pomps Tire Service Inc,68,Miscellaneous NP Tenants,1068,,,,,,,,,,
65,Boulevard Tire Center,199,The Coca Cola Co,280,,,,,,,,,,
2,Wells Mobile Truck & Trailer Repair LLC,1936,Direct ChassisLink Inc,1112,,,,,,,,,,
33,P & B Intermodal Services LLC,694,Direct ChassisLink Inc,1112,FedEx Freight Inc,396,,,,,,,,
433,P & B Intermodal Services LLC,694,Flexi Van Central Chassis Pool,1282,,,,,,,,,,
41,Boulevard Tire Center,199,Reyes Holdings LLC,773,,,,,,,,,,
47,Pomps Tire Service Inc,68,Direct ChassisLink Inc,1112,STG Logistics,884,,,,,,,,
173,Foccus Road Service,1539,Direct ChassisLink Inc,1112,Amazon Logistics Inc,1081,,,,,,,,
175,Illinois Fleet Service Inc,493,Direct ChassisLink Inc,1112,,,,,,,,,,
3,TA Shops (Non Integrated),1281,Bridgestone Americas LLC,210,Transwood Inc,957,,,,,,,,
104,Eagle Teleservices,1117,Boulevard Tire Center,199,Bridgestone Americas LLC,210,Amazon Logistics Inc,1081,,,,,,
91,Eagle Teleservices,1117,Best One,73,Bridgestone Americas LLC,210,Miscellaneous NP Tenants,1068,,,,,,
46,Boulevard Tire Center,199,Pike Corp,1730,,,,,,,,,,
